
"1993/01/20","","Day","William Jefferson Clinton is inaugurated as the forty-second President of the United States.","Bill Clinton"
"1993/01/25","","Day","President Clinton announces that First Lady Hillary Rodham Clinton will head the Task Force on National Health Care Reform. The President hopes to reform the nation's health care system so that all Americans have health insurance, ensuring what is called “universal coverage,” and to control the sky-rocketing costs of health care. ","Bill Clinton"
"1993/02/05","","Day","President Clinton signs the Family Medical Leave Act that requires companies to provide workers with up to three months of unpaid leave for family and medical emergencies. ","Bill Clinton"
"1993/02/26","","Day","Six people are killed and more than a thousand suffer injuries after a bomb planted under the World Trade Center in New York City explodes. The bomb marks the beginning of a string of threats against the United States made during the Clinton administration by both foreign and domestic terrorists. ","Bill Clinton"
"1993/03/03","","Day","President Clinton appoints Vice President Al Gore to head the National Performance Review, which will devise an initiative entitled “Reinventing Government.” The initiative streamlines government by reducing the number of federal employees; it also cuts federal spending as a percentage of GDP to levels unseen since the Kennedy administration. "
"1993/03/11","","Day","The Senate confirms Janet Reno as attorney general, the first woman to serve in the position. Reno was Clinton's third choice for the position, after his first two selections were scuttled due to financial improprieties. ","Bill Clinton"
"1993/04/19","","Day","In Waco, Texas, federal law enforcement officers, under the orders of Attorney General Janet Reno, end a 51-day standoff against a religious cult led by self-styled messiah David Koresh. In the ensuing confrontation, the fires that destroy the cult's compound kill at least seventy-five people, and bring Reno widespread criticism for her aggressive handling of the situation. ","Bill Clinton"
"1993/06/26","","Day","The U.S. Navy, under President Clinton's orders, attacks Iraqi intelligence operations in downtown Baghdad after learning that Iraqis had plotted to kill former President Bush during his April 1993 visit to Kuwait. The twenty-three tomahawk missiles fired reportedly kill eight people. ","Bill Clinton"
"1993/07/19","","Day","President Clinton announces an “honorable compromise” in the debate surrounding gays in the military. Homosexuals would be allowed to serve, but could face military investigations if they acknowledged their orientation, as well as be expelled for it. The policy is labeled “Don't Ask, Don't Tell.” ","Bill Clinton"
"1993/07/20","","Day","Vince Foster, deputy counsel to the President, is found dead in a Northern Virginia park. Authorities rule his death a suicide, but subsequent federal investigators will re-open the case in the future. ","Bill Clinton"
"1993/08/03","","Day","The Senate confirms Ruth Bader Ginsburg's nomination to the Supreme Court. Ginsburg succeeds the retiring Byron White and become the second woman to sit on the high court. ","Bill Clinton"
"1993/08/10","","Day","President Clinton signs the Omnibus Budget Reconciliation Act. The legislation, which passes both houses of Congress by slim majorities, lays out a plan to reduce the budget deficit by $496 billion through 1998, using a combination of spending cuts and tax increases. ","Bill Clinton"
"1993/09/13","","Day","President Clinton presides over a ceremony in Washington, D.C., at which Israeli Prime Minister Yitzhak Rabin and PLO Chairman Yasser Arafat sign the Israeli-Palestinian Declaration of Principles, the first agreement between Jews and Palestinians, providing for Palestinian self-government in the Gaza Strip and the West Bank. ","Bill Clinton"
"1993/09/22","","Day","President Clinton unveils a plan for universal health care that would fix what he called a “badly broken” system. Clinton emphasizes that under his plan, all Americans would have high quality health care and would be able to choose their physicians. ","Bill Clinton"
"1993/10/04","1993/10/03","Day","An elite American special forces unit searching for Somali warlord Mohammed Farah Aidid in Somalia's capital city of Mogadishu is ambushed by Aidid's forces, leaving eighteen Americans dead. Three days later, President Clinton announces that all American military personnel in Somalia will be home by March 31, 1994. ","Bill Clinton"
"1993/11/30","","Day","President Clinton signs the Brady Act, which requires a potential handgun purchaser to wait five days while a background check is performed by law enforcement officers. ","Bill Clinton"
"1993/12/08","","Day","After a hard-fought battle in Congress, President Clinton signs the North American Free Trade Agreement (NAFTA), eliminating nearly every trade barrier between the United States, Canada, and Mexico, creating the world's largest free trade zone.  ","Bill Clinton"
"1994/01/10","1994/01/11","Day","President Clinton attends the NATO summit meeting in Brussels, Belgium, at which he announces that the United States will maintain at least 100,000 troops in Europe. He also introduces the “Partnership for Peace” program aimed at building closer ties between NATO and former Warsaw Pact states.  ","Bill Clinton"
"1994/02/03","","Day","President Clinton ends the nineteen-year old trade embargo against Vietnam, noting that Vietnam is indeed trying to locate 2,238 Americans listed as missing in action since the Vietnam War. ","Bill Clinton"
"1994/03/25","","Day","The last American marines leave Somalia. ","Bill Clinton"
"1994/05/26","","Day","President Clinton renews China's Most Favored Nation trade status, even though China has not made as much progress on human rights issues as he had hoped. ","Bill Clinton"
"1994/06/14","","Day","President Clinton unveils his welfare reform initiatives. Clinton had campaigned in 1992 on the issue, promising to “end welfare as we know it.” ","Bill Clinton"
"1994/07/25","","Day","President Clinton meets with Prime Minister Yitzhak Rabin of Israel and King Hussein of Jordan. The talks result in Israel and Jordan agreeing in principle to end nearly fifty years of official antagonism. ","Bill Clinton"
"1994/08/26","","Day","The White House and congressional leaders, including Senate Majority Leader George Mitchell (D-ME), announce that Clinton's ambitious plan for health care reform will not be acted upon in 1994.  Clinton's initiatives fail to find support in Congress.  ","Bill Clinton"
"1994/09/13","","Day","President Clinton signs into law the Violent Crime Control and Law Enforcement Act that includes provisions providing for the hiring of 100,000 more policemen, and the expansion of the death penalty to cover more than 50 federal crimes. ","Bill Clinton"
"1994/09/18","","Day","After a tense stand-off with the Clinton administration, Haiti's military government, led by General Raoul Cedras, agrees to cede power. The administration, along with the United Nations, had tried for over a year to restore the democratically elected president of Haiti, Jean-Bertrand Aristide, who had been overthrown in a coup on September 30, 1991. ","Bill Clinton"
"1994/10/09","","Day","The Clinton administration announces plans to send more than 35,000 troops to the Persian Gulf to deter an Iraqi invasion of Kuwait. Less than three days after the announcement, Iraqi troops pull back from the Iraq-Kuwait border. ","Bill Clinton"
"1994/11/08","","Day","In mid-term congressional elections, the Republican Party wins control of both houses of Congress for the first time in more than 40 years. It now holds a 53 to 47 advantage in the Senate and a 230 to 214 to 1 lead in the House. ","Bill Clinton"
"1994/12/01","","Day","The Senate votes to approve the General Agreement on Tariffs and Trade (GATT) that 117 nations, including the United States, agree to in December 1993. The agreement cuts tariffs by more than a third on a wide-range of products and creates a freer international market for goods. ","Bill Clinton"
"1994/12/05","","Day","President Clinton, along with the presidents of Belarus, Kazakhstan, Russia, and Ukraine, signs the Strategic Arms Reduction Treaty (START I) in Budapest, Hungary. The treaty eliminates more than 9,000 warheads. ","Bill Clinton"
"1995/01/23","","Day","President Clinton signs the Congressional Accountability Act, requiring Congress to abide by the same anti-discrimination workplace rules that apply throughout the rest of the country. ","Bill Clinton"
"1995/01/31","","Day","President Clinton authorizes the U.S. Treasury Department to make an emergency loan of up to $20 billion to Mexico to forestall a financial crisis threatening the interconnected Mexican and American economies. ","Bill Clinton"
"1995/04/19","","Day","In an act of domestic terrorism, a bomb planted in a truck parked in front of the Alfred P. Murrah Federal Building in Oklahoma City, Oklahoma, kills 168 people and causes massive structural damage. In the days following the tragedy, Clinton, in widely-praised efforts, speaks with victims and to the country about how to recover physically, emotionally, and spiritually from the attack. ","Bill Clinton"
"1995/07/11","","Day","The United States extended full diplomatic recognition of Vietnam, twenty-two years after the United States withdrew military forces from that country. ","Bill Clinton"
"1995/08/30","","Day","NATO, with a strong contingent of American forces, begins two weeks of air attacks on Serbian positions. ","Bill Clinton"
"1995/10/23","","Day","President Clinton and Russian president Yeltsin meet in Hyde Park, New York, and continue to discuss ways to improve relations between their two nations, especially with regard to the issue of nuclear arms. ","Bill Clinton"
"1995/11/01","1995/12/28","Month","President Clinton and the Republican-controlled Congress, led by Speaker of the House Newt Gingrich (R-GA), engage in a political death struggle over how to balance the budget by 2002. Failure to reach an agreement leads to the shut-down of certain parts of the federal government, furloughing more than a quarter of a million government workers. ","Bill Clinton"
"1995/11/21","","Day","In Dayton, Ohio, the representatives of Bosnia, Croatia, and Serbia agree in principle to a peace agreement, brokered by American Richard Holbrooke, to end three years of war in Bosnia.  The agreement establishes a unitary Bosnian state and allows refugees to return home. ","Bill Clinton"
"1995/11/29","1995/02/02","Day","During a tour of Europe, President Clinton urges the continuation of peace efforts in Northern Ireland. ","Bill Clinton"
"1996/01/23","","Day","President Clinton, in the annual State of the Union address, declares that “the era of big government is over.”  More important, he positions himself as a centrist, moderate Democrat for the upcoming presidential election, hoping that these types of pronouncements will blunt Republican charges that he is too liberal.    ","Bill Clinton"
"1996/04/09","","Day","President Clinton signs a bill giving him the power of the “line-item veto,” which had been requested by Presidents Reagan and Bush. With this new power, Clinton can veto specific items in spending and tax bills without vetoing the entire measure. ","Bill Clinton"
