
"1953/01/20","","Day","Dwight D. Eisenhower is inaugurated as the thirty-fourth President of the United States.","Dwight D. Eisenhower","Dwight D. Eisenhower"
"1953/01/27","","Day","Ralph Ellison wins a National Book Award for Invisible Man. ","Dwight D. Eisenhower","Dwight D. Eisenhower"
"1953/03/05","","Day","The Soviet Union announces the death of Josef Stalin. ","Dwight D. Eisenhower","Dwight D. Eisenhower"
"1953/03/17","","Day","All price controls officially ended by the Office of Price Stabilization. ","Dwight D. Eisenhower"
"1953/04/01","","Day","The Department of Health, Education, and Welfare is created by joint congressional action. ","Dwight D. Eisenhower"
"1953/04/16","","Day","Eisenhower delivers his “Chance for Peace” speech to the American Society of Newspaper Editors. ","Dwight D. Eisenhower"
"1953/05/22","","Day","Eisenhower signs the Submerged Lands Act. ","Dwight D. Eisenhower"
"1953/06/19","","Day","Julius and Ethel Rosenberg are executed. ","Dwight D. Eisenhower"
"1953/07/26","","Day","Eisenhower addresses the American public and announces an armistice in Korea. ","Dwight D. Eisenhower"
"1953/08/01","","Day","Eisenhower proposes broadening the provisions of the Social Security Act to cover more than 10 million additional Americans. ","Dwight D. Eisenhower"
"1953/08/07","","Day","Eisenhower signs the Refugee Relief Act of 1953, admitting 214,000 more immigrants than permitted under existing immigration quotas. ","Dwight D. Eisenhower"
"1953/08/19","","Day","Iranians, with the backing of the CIA, overthrow the government of Prime Minister Mohammed Mossadegh, ensuring Mohammed Reza Shah Pahlavi's hold on power. ","Dwight D. Eisenhower"
"1953/09/10","","Day","Secretary of Labor Martin Durkin resigns, in large part to protest the failure of the Eisenhower Administration to propose amendments to the Taft-Hartley Act. ","Dwight D. Eisenhower"
"1953/09/30","","Day","Eisenhower appoints Earl Warren chief justice of the Supreme Court. ","Dwight D. Eisenhower"
"1953/10/08","","Day","Eisenhower announces that the Soviet Union has tested a hydrogen bomb. ","Dwight D. Eisenhower"
"1953/12/08","","Day","Eisenhower gives his “Atoms for Peace” speech to the U.N. General Assembly in New York. ","Dwight D. Eisenhower"
