
"1850/07/09","","Day","President Zachary Taylor dies suddenly of cholera at the age of 55. Vice President Millard Fillmore is slated to assume the duties of the presidency.","Millard Fillmore","Millard Fillmore"
"1850/07/10","","Day","Judge William Cranch administers the executive oath to Millard Fillmore, making Fillmore the nation's thirteenth President. Knowing that Fillmore's sympathies lie with the proposed congressional compromise, regarding the number of free and slave states, Zachary Taylor's cabinet resigns unanimously. Fillmore responds by appointing pro-Union, pro-compromise Whigs, including Daniel Webster as secretary of state, to his cabinet. ","Millard Fillmore"
"1850/08/06","","Day","Fillmore announces his support of the compromise. He sends a message to Congress recommending that (1) Texas be paid to abandon claims to part of New Mexico and (2) that the Wilmot Proviso, which states that all land acquired from the Mexican War be closed to slavery, be overturned. ","Millard Fillmore"
"1850/09/09","","Day","As one of the recommendations of the compromise, California enters the Union as the thirty-first state. As a “free” state, its admittance gives non-slaveholding states a majority in the Senate. Simultaneously, the Texas and New Mexico Act establishes boundaries between the two. As a concession to the South, New Mexico's status -- free or slaveholding -- will be dependent on how its constitution reads at the time of admittance to the Union. Similarly, the Utah Act decides boundaries of Utah according to the principles governing New Mexico. ","Millard Fillmore"
"1850/09/18","","Day","Congress passes the Fugitive Slave Bill, prohibiting individuals from aiding runaway slaves, and threatening fines and imprisonment to those who do. Escaped slaves will be returned to their owners, denied a jury trial, and prevented from testifying on their own behalf. Part of the Compromise of 1850 and an attempt to ease tensions within the fractious nation, the bill is a concession to the South but angers many Northerners. ","Millard Fillmore"
"1850/09/20","","Day","Congress passes the Compromise of 1850, written by Kentucky senator Henry Clay. California is admitted as a free state, the Utah and New Mexico territories are to be organized on the principle of “popular sovereignty,” and the slave trade is to be abolished in Washington, D.C. The deal settles the issue of slavery in the newly acquired territories, dividing the country along the thirty-seventh parallel, with slavery in the South and free states in the North. Northern “irreconcilables” refuse to forgive Fillmore for the act, catalyzing the sectionalism afflicting the United States. ","Millard Fillmore"
"1850/09/28","","Day","President Fillmore names Brigham Young, president of the Mormon Church, governor of the Utah territory.  From 1846 to 1847, Young leads thousands of disciples from Illinois to the central Utah valley, where he establishes Salt Lake City, the site for the Church's new temple. With hundreds of new arrivals each year, Young founds scores of colonies to provide the inhabitants with homes and land; at his death in 1877, nearly 400 Mormon colonies exist. Serving as governor until 1857, Young clashes with the “outside” federal employees who oppose many of the Church's stances.  ","Millard Fillmore"
"1850/10/24","1850/10/23","Day","Headed by feminists and abolitionists, a national women's rights convention is held in Worcester, Massachusetts, and is attended by delegates from nine states. Chosen for its accessibility by rail, the Worcester convention attracts hundreds of people. Among the main topics, participants discuss employment opportunities, political and legal rights, property rights after marriage, and educational opportunities for women, especially in medicine. ","Millard Fillmore"
"1851/01/02","","Day","Acting on long-held interest in gaining influence in Central America, the United States ratifies its first commercial treaty with El Salvador. ","Millard Fillmore"
"1851/03/03","","Day","The coinage of three-cent pieces, the smallest coin in weight and thickness ever issued, begins to facilitate postal payments. ","Millard Fillmore"
"1851/06/05","","Day","Appearing in serialized form, the first installment of <i>Uncle Tom's Cabin</i> (or <i>Life Among the Lowly</i>), by Harriet Beecher Stowe, is published in the <i>National Era</i>; the book form appears in 1852. Coupled with Northern anger over the Fugitive Slave Bill, this book generates more support for abolitionist causes. Years later, President Abraham Lincoln will call Stowe “the little lady who caused the Civil War.” By 1853, with more than 300,000 copies of <i>Uncle Tom's Cabin</i> sold, the novel becomes a play in New York; it is dramatized by George Aiken and runs for more than 100 nights. Southerners denounce the work while Northerners embrace it as a true depiction of slavery. ","Millard Fillmore"
"1851/07/25","","Day","Gold is found in Oregon along the Rogue River, a prospective new territory for the California gold rushers of 1849. The discovery leads to the arrival of thousands of individuals in search of the metal. ","Millard Fillmore"
"1851/11/14","","Day","The first American edition of Melville Herman's <i>Moby Dick</i> is published. The work does not become widely accepted for another seventy years. ","Millard Fillmore"
"1852/06/01","6 1-6, 1852","Day","The Democratic National Convention nominates Franklin Pierce of New Hampshire for the presidency and William R. King of Alabama for the vice presidency. ","Millard Fillmore"
"1852/06/16","1852/06/21","Day","The Whig National Convention nominates General Winfield Scott of New Jersey for the presidency and William Graham of North Carolina for the vice presidency. Both adhere to the strict enforcement of the Compromise of 1850. ","Millard Fillmore"
"1852/08/24","","Day","Karl Marx, a German exile living in London, makes his first appearance in print with a series called “Revolution and Counter-Revolution,” in the <i>New York Tribune</i>. Over the next decade, Marx will write a series of news articles that appear in the newspaper about European events and affairs. ","Millard Fillmore"
"1852/11/02","","Day","Franklin Pierce is elected President of the United States with William R. King as his vice president. ","Millard Fillmore"
