"1977/01/20","","Day","01/20/1977: Carter is inaugurated the thirty-ninth President o…","Carter is inaugurated the thirty-ninth President of the United States.","Jimmy Carter"
"1977/01/21","","Day","01/21/1977: Carter pardons Vietnam War draft evaders…","Carter pardons Vietnam War draft evaders. ","Jimmy Carter"
"1977/02/02","","Day","02/02/1977: Congress passes Emergency Natural Gas Act, authori…","Congress passes Emergency Natural Gas Act, authorizing the President to deregulate natural gas prices due to a shortage in supply. Carter signs the bill and announces plans to present an energy program to Congress. He later proposes the establishment of a cabinet-level Department of Energy. ","Jimmy Carter"
"1977/02/15","1977/02/21","Day","02/15/1977: Secretary of State Cyrus Vance travels to the Midd…","Secretary of State Cyrus Vance travels to the Middle East in an attempt to reconvene the 1973 Geneva Conference. ","Jimmy Carter"
"1977/02/17","","Day","02/17/1977: Soviet dissident Andrei Sakharov receives a writte…","Soviet dissident Andrei Sakharov receives a written letter of support from President Carter. ","Jimmy Carter"
"1977/04/18","","Day","04/18/1977: In an address to the nation, Carter calls his prog…","In an address to the nation, Carter calls his program of energy conservation the “moral equivalent of war.” ","Jimmy Carter"
"1977/05/22","","Day","05/22/1977: Carter speaks at Notre Dame University, presenting…","Carter speaks at Notre Dame University, presenting a new direction in foreign policy which takes the focus off anti-Communism and emphasizes support for fundamental human rights. ","Jimmy Carter"
"1977/06/20","","Day","06/20/1977: Carter announces opposition to production of the B…","Carter announces opposition to production of the B-1 strategic bomber. ","Jimmy Carter"
"1977/07/19","","Day","07/19/1977: Newly elected Israeli Prime Minister Menachem Begi…","Newly elected Israeli Prime Minister Menachem Begin meets with Carter in Washington. ","Jimmy Carter"
"1977/12/29","1977/12/31","Day","12/29/1977: Carter meets with Polish First Secretary Gierek in…","Carter meets with Polish First Secretary Gierek in Warsaw. ","Jimmy Carter"
"1977/12/31","1977/01/01","Day","12/31/1977: Carter visits the Mohammed Reza Shah Pahlavi, in T…","Carter visits the Mohammed Reza Shah Pahlavi, in Tehran, calling Iran “an island of stability” in the Middle East. ","Jimmy Carter"
"1978/01/01","1978/01/06","Day","01/01/1978: Carter travels to India, Saudi Arabia, Egypt, Fran…","Carter travels to India, Saudi Arabia, Egypt, France, and Belgium. ","Jimmy Carter"
"1978/03/09","","Day","03/09/1978: Carter invokes the Taft-Hartley Act to end a strik…","Carter invokes the Taft-Hartley Act to end a strike by coal miners. ","Jimmy Carter"
"1978/03/17","","Day","03/17/1978: Carter warns of the Soviet threat in a foreign pol…","Carter warns of the Soviet threat in a foreign policy address at Wake Forest University. ","Jimmy Carter"
"1978/06/07","","Day","06/07/1978: Carter graduation speech at Annapolis emphasizes t…","Carter graduation speech at Annapolis emphasizes the importance of human rights in foreign policy. ","Jimmy Carter"
"1978/09/05","1978/09/17","Day","09/05/1978: Carter mediates talks between Prime Minister Menac…","Carter mediates talks between Prime Minister Menachem Begin of Israel and President Anwar Sadat of Egypt at Camp David, resulting in a peace treaty between the two nations. ","Jimmy Carter"
"1978/10/15","","Day","10/15/1978: Congress passes a revised energy bill eighteen mon…","Congress passes a revised energy bill eighteen months after Carter proposed it. Congress also passes the Humphrey-Hawkins full employment bill. ","Jimmy Carter"
