"1953/01/20","","Day","01/20/1953: Dwight D. Eisenhower is inaugurated as the thirty-…","Dwight D. Eisenhower is inaugurated as the thirty-fourth President of the United States.","Dwight D. Eisenhower"
"1953/01/27","","Day","01/27/1953: Ralph Ellison wins a National Book Award for Invis…","Ralph Ellison wins a National Book Award for Invisible Man. ","Dwight D. Eisenhower"
"1953/03/05","","Day","03/05/1953: The Soviet Union announces the death of Josef Stal…","The Soviet Union announces the death of Josef Stalin. ","Dwight D. Eisenhower"
"1953/03/17","","Day","03/17/1953: All price controls officially ended by the Office …","All price controls officially ended by the Office of Price Stabilization. ","Dwight D. Eisenhower"
"1953/04/01","","Day","04/01/1953: The Department of Health, Education, and Welfare i…","The Department of Health, Education, and Welfare is created by joint congressional action. ","Dwight D. Eisenhower"
"1953/04/16","","Day","04/16/1953: Eisenhower delivers his “Chance for Peace” speech …","Eisenhower delivers his “Chance for Peace” speech to the American Society of Newspaper Editors. ","Dwight D. Eisenhower"
"1953/05/22","","Day","05/22/1953: Eisenhower signs the Submerged Lands Act…","Eisenhower signs the Submerged Lands Act. ","Dwight D. Eisenhower"
"1953/06/19","","Day","06/19/1953: Julius and Ethel Rosenberg are executed.…","Julius and Ethel Rosenberg are executed. ","Dwight D. Eisenhower"
"1953/07/26","","Day","07/26/1953: Eisenhower addresses the American public and annou…","Eisenhower addresses the American public and announces an armistice in Korea. ","Dwight D. Eisenhower"
"1953/08/01","","Day","08/01/1953: Eisenhower proposes broadening the provisions of t…","Eisenhower proposes broadening the provisions of the Social Security Act to cover more than 10 million additional Americans. ","Dwight D. Eisenhower"
"1953/08/07","","Day","08/07/1953: Eisenhower signs the Refugee Relief Act of 1953, a…","Eisenhower signs the Refugee Relief Act of 1953, admitting 214,000 more immigrants than permitted under existing immigration quotas. ","Dwight D. Eisenhower"
