"1809/02/08","","Day","02/08/1809: Congress announces the results of the 1808 preside…","Congress announces the results of the 1808 presidential election. Jefferson's secretary of state, Republican-Democrat James Madison, emerges victorious. Madison swamps Federalist opponent Charles C. Pinckney in electoral votes, 122 to 47. Pinckney carries only five states -- all of them in New England -- to Madison's twelve.","James Madison"
"1809/03/04","","Day","03/04/1809: James Madison is inaugurated as the fourth Preside…","James Madison is inaugurated as the fourth President of the United States. ","James Madison"
"1809/03/01","","Month","03/1809: Congress authorizes $12,000 to refurbish the White H…","Congress authorizes $12,000 to refurbish the White House. ","James Madison"
"1809/04/19","","Day","04/19/1809: After negotiations with British minister Erskine, …","After negotiations with British minister Erskine, Madison issues a proclamation -- known as the Erskine Agreement -- revoking the embargo on Britain, effective June 10. For his part, Erskine leads Madison to believe that Britain will revoke its Orders in Council. On March 25, however, the American envoy in Britain learns that British foreign secretary Canning has canceled the Erskine Agreement; news reaches Madison six weeks later. On August 9, Madison rescinds his proclamation establishing trade with Britain and resumes a policy of nonintercourse. ","James Madison"
"1809/08/01","","Month","08/1809: Madison persuades Albert Gallatin to remain secret…","Madison persuades Albert Gallatin to remain secretary of treasury in the face of strong congressional opposition and discord within Madison's cabinet. ","James Madison"
"1810/01/03","","Day","01/03/1810: Prompted by tensions with Spain over West Florida,…","Prompted by tensions with Spain over West Florida, Madison calls for renewal of an act authorizing the President to call out 100,000 militiamen, fill up the regular army to its authorized strength, establish a force of 20,000 volunteers for immediate emergencies, and reactivate idle components of the naval fleet. ","James Madison"
"1810/04/16","","Day","04/16/1810: John Marshall overrules state legislatio…","John Marshall overrules state legislation in <i>Fletcher v. Peck</i>, finding attempts to rectify the Yazoo land fraud scheme a violation of contract rights. Madison determines to add Republicans to the court. ","James Madison"
"1810/05/01","","Day","05/01/1810: To replace the Nonintercourse Act, Congress passes…","To replace the Nonintercourse Act, Congress passes Macon's Bill Number 2, which allows American ships to carry French or English goods while barring belligerent powers from American ports. The bill further promises to renew nonintercourse with one of the two belligerent nations if the other withdraws its decrees. Trade with France and Britain is restored so long as the European nations respect American trade rights. ","James Madison"
"1810/08/05","","Day","08/05/1810: The Cadore letter notifies the American minister i…","The Cadore letter notifies the American minister in France that the Decrees of Berlin and Milan will be repealed, effective November 1, if Britain revokes its Orders in Council or if the United States bars trade with Britain. ","James Madison"
"1810/10/27","","Day","10/27/1810: Madison issues a proclamation authorizing occupati…","Madison issues a proclamation authorizing occupation of West Florida, also claimed by Spain, as part of the Louisiana Purchase. ","James Madison"
"1810/11/02","","Day","11/02/1810: Under the terms of Macon's Bill Number 2, Madison …","Under the terms of Macon's Bill Number 2, Madison accepts a French offer to stop confiscation of American supplies and ships. In February 1911, he declares a halt in trade with Britain unless the Orders are repealed. Undeterred, Britain vows to continue to seize American ships until France ends its trade restrictions. ","James Madison"
"1811/02/02","","Day","02/02/1811: Madison reestablishes nonintercourse with Britain.…","Madison reestablishes nonintercourse with Britain. Meanwhile, the French continue their seizure of American ships. ","James Madison"
"1811/03/03","","Day","03/03/1811: The Bank of the United States closes. Treasury Sec…","The Bank of the United States closes. Treasury Secretary Gallatin urges Congress to extend its charter but fails to convince members concerned with the large British interest in the Bank. ","James Madison"
"1811/03/20","","Day","03/20/1811: After Madison dismisses Secretary of State Robert …","After Madison dismisses Secretary of State Robert Smith, James Monroe accepts Madison's offer of the cabinet position. ","James Madison"
"1811/02/01","","Month","02/1811: Madison vetoes two bills of Congress, one granting…","Madison vetoes two bills of Congress, one granting land in the Mississippi Territory to a Baptist congregation and the other incorporating an Episcopal church in Washington, D.C. Madison argues that both bills violate the non-establishment clause of the First Amendment. Later in the year, Congress will pass a Religious Freedom Act. ","James Madison"
"1811/04/16","","Day","04/16/1811: Editor Gales, of the <i>National Intelligencer</i>…","Editor Gales, of the <i>National Intelligencer</i>, prints a summary of his discussion with Madison. The talks indicate that Madison has hardened his attitude toward Britain. ","James Madison"
"1811/05/16","","Day","05/16/1811: After it is attacked, the U.S. battleshi…","After it is attacked, the U.S. battleship <i>President</i> fires on the British ship <i>HMS Little Belt</i>. ","James Madison"
